subject	mean_FD	max_FD
sub-001_ses-ket	0.4320491483704289	0.9750039832821197
sub-001_ses-std	0.3051978111453356	0.8744461144404496
sub-002_ses-ket	0.9285184691160704	2.253404230010452
sub-002_ses-std	1.1312065152154114	2.0102237407522576
sub-005_ses-ket	0.3986410643082811	1.0926449380095988
sub-005_ses-std	0.619889825279265	1.3343987498918755
sub-019_ses-ket	0.7316876926822827	1.7435645494383654
sub-019_ses-std	0.6778181581719831	1.5342194277475305
sub-022_ses-ket	0.6468499814229378	2.12228570800028
sub-022_ses-std	1.037454258899659	5.637572182872694
sub-027_ses-ket	1.4748167820693214	3.5405075799055985
sub-027_ses-std	1.279586307479617	2.296733386791771
sub-028_ses-ket	0.48991905713237516	1.4009121904976771
sub-028_ses-std	0.48196267712172014	1.8242382825295713
sub-031_ses-ket	0.5279670044724266	1.1637421999270285
sub-031_ses-std	0.6145055554787806	1.6710224857843774
sub-032_ses-ket	1.3423888472439744	2.7261356791253073
sub-032_ses-std	0.4434355562248535	1.9461084451479058
sub-034_ses-ket	2.474214653661288	6.586828411815508
sub-034_ses-std	0.979190114161554	3.170957417011462
sub-036_ses-ket	0.6721461032880874	2.1006014514240916
sub-036_ses-std	0.6010692292668256	1.4127047476893393
sub-038_ses-std	0.5282536651591325	1.201138168886494